title,year,genre,imdb
The Bells,1926,"Crime, Drama, Horror",6.5
Beverly of Graustark,1926,"Comedy, Romance",5.9
The Blackbird,1926,"Crime, Drama, Romance",6.8
The Blue Eagle,1926,"Action, Drama",5.5
The Boob,1926,"Comedy, Romance",5
Brown of Harvard,1926,"Action, Drama, Romance",6.2
Dancing Mothers,1926,Drama,6.6
Don Juan,1926,"Adventure, Romance",7
Ella Cinders,1926,"Comedy, Romance",6.7
Eve's Leaves,1926,"Comedy, Romance",4.6
Exit Smiling,1926,"Comedy, Romance",6.9
Fig Leaves,1926,Comedy,6.4
For Heaven's Sake,1926,"Action, Comedy, Romance",7.5
The Great K & A Train Robbery,1926,Western,6.3
Hands Up!,1926,"Action, Comedy, War",6.6
His First Flame,1927,Comedy,6
It's the Old Army Game,1926,"Adventure, Comedy, Romance",6.4
Kid Boots,1926,"Comedy, Romance",6.9
Kiki,1926,Comedy,6.7
The Magician,1926,"Drama, Fantasy, Horror",6.7
Mantrap,1926,Comedy,6.8
Mare Nostrum,1926,"Drama, War",6.8
My Lady of Whims,1925,Comedy,5.7
Nell Gwyn,1926,"Biography, Drama, History",5.2
The Road to Mandalay,1926,Drama,6.6
The Scarlet Letter,1926,Drama,7.7
The Sea Beast,1926,"Action, Adventure, Fantasy",6.5
The Shamrock Handicap,1926,"Romance, Drama",5.8
The Show-Off,1926,"Comedy, Drama",6.8
So This Is Paris,1926,Comedy,7
So's Your Old Man,1926,Comedy,6.2
The Son of the Sheik,1926,"Adventure, Drama, Romance",6.6
The Sorrows of Satan,1926,"Drama, Romance",6.2
Sparrows,1926,Drama,7.3
The Strong Man,1926,Comedy,6.7
The Temptress,1926,"Drama, Romance",6.9
3 Bad Men,1926,"Romance, Western",7.5
Torrent,1926,"Drama, Romance",6.9
"Tramp, Tramp, Tramp",1926,"Adventure, Comedy, Romance",6.1
The Volga Boatman,1926,"Drama, Romance",6.6
Almost Human,1927,"Drama, Romance",7.5
Annie Laurie,1927,"Drama, Romance",5.9
The Beloved Rogue,1927,"Adventure, Drama, History",6.9
Captain Salvation,1927,"Drama, Romance",6.8
The Cat and the Canary,1927,"Comedy, Horror, Mystery",7.1
Chicago,1927,"Comedy, Crime, Drama",7.1
College,1927,"Comedy, Drama, Sport",7.1
Downhill,1927,"Adventure, Drama, Thriller",6.1
The Drop Kick,1927,"Drama, Sport",4.8
Easy Virtue,1927,"Romance, Thriller",5.7
The Fair Co-Ed,1927,Comedy,5.6
The First Auto,1927,"Comedy, Drama",6.4
The Gaucho,1927,"Adventure, Romance",6.9
The General,1926,"Action, Adventure, Comedy",8.1
Get Your Man,1927,"Comedy, Romance",6.7
Hindle Wakes,1927,"Drama, Romance",7.1
Hula,1927,"Drama, Romance",6.4
The Jazz Singer,1927,"Drama, Music, Musical",6.5
The Kid Brother,1927,"Comedy, Drama, Family",7.6
The King of Kings,1927,"Biography, Drama, History",7.2
Long Pants,1927,Comedy,6.3
"Man, Woman and Sin",1927,Drama,5.9
Mockery,1927,"Drama, Romance",6.7
My Best Girl,1927,"Comedy, Romance",7.4
Old San Francisco,1927,"Drama, History, Romance",6.4
Orchids and Ermine,1927,"Comedy, Romance",6.8
The Patent Leather Kid,1927,"Drama, Romance, Sport",5.8
The Red Mill,1927,"Comedy, Romance",6.6
Running Wild,1927,Comedy,7
7th Heaven,1927,"Drama, Romance",7.6
Shooting Stars,1928,"Drama, Romance",7.1
The Show,1927,"Crime, Drama",6.9
"Slide, Kelly, Slide",1927,"Comedy, Sport",4
Spring Fever,1927,Comedy,6
The Student Prince in Old Heidelberg,1927,"Drama, Romance",7.6
Sunrise: A Song of Two Humans,1927,"Drama, Romance",8.1
Tarzan and the Golden Lion,1927,"Action, Adventure",5.5
Tell It to the Marines,1926,"Comedy, Drama, Romance",6.9
Three's a Crowd,1927,"Comedy, Drama",6.1
Tillie the Toiler,1927,"Comedy, Drama",5.8
Twelve Miles Out,1927,Drama,5.2
Two Arabian Knights,1927,"Adventure, Comedy, Romance",6.7
Uncle Tom's Cabin,1927,"Drama, History",6.7
Underworld,1927,"Crime, Drama, Film-Noir",7.6
The Unknown,1927,"Drama, Horror, Romance",7.8
Upstream,1927,"Comedy, Drama",6.2
When a Man Loves,1927,"History, Romance",6.8
Wings,1927,"Drama, Romance, War",7.5
Winners of the Wilderness,1927,"Drama, History, War",3.1
Across to Singapore,1928,"Drama, Romance",6
The Battle of the Sexes,1928,Comedy,6.5
Beggars of Life,1928,"Adventure, Drama",7.5
The Cameraman,1928,"Comedy, Drama, Family",8.1
The Cardboard Lover,1928,"Comedy, Romance",6.2
Champagne,1928,Comedy,5.6
The Circus,1928,"Comedy, Romance",8.1
The Cossacks,1928,Drama,6.5
The Docks of New York,1928,"Crime, Drama, Film-Noir",7.5
The Farmer's Wife,1928,"Comedy, Drama, Romance",5.9
4 Devils,1928,Drama,6.3
The Four Feathers,1929,"Adventure, Drama, Romance",6.9
Four Sons,1928,"Drama, War",7.1
The Garden of Eden,1928,"Comedy, Drama",6.8
High Treason,1929,Sci-Fi,6
A Lady of Chance,1928,"Comedy, Drama, Romance",6.9
The Last Command,1928,"Drama, History, Romance",8
Lights of New York,1928,"Crime, Drama, Music",5.7
Lonesome,1928,"Comedy, Drama, Romance",7.8
The Man Who Laughs,1928,"Drama, Horror, Mystery",7.7
The Matinee Idol,1928,"Comedy, Romance",6.8
The Mating Call,1928,Drama,6.8
Moulin Rouge,1928,Drama,6.5
The Mysterious Lady,1928,"Drama, Romance",7.2
Our Dancing Daughters,1928,Drama,6.7
The Patsy,1928,"Comedy, Drama, Romance",7.5
The Power of the Press,1928,Drama,6.4
The Racket,1928,"Crime, Drama, Film-Noir",6.7
Rose-Marie,1928,Drama,3.5
The Singing Fool,1928,"Musical, Drama",6.2
The Smart Set,1928,"Comedy, Romance, Sport",6.2
Speedy,1928,"Action, Comedy, Family",7.7
"Steamboat Bill, Jr.",1928,"Action, Comedy, Drama",7.9
Submarine,1928,"Action, Adventure, Drama",6.1
Tempest,1928,"Drama, Romance",6.8
That Certain Thing,1928,"Comedy, Drama, Romance",6
The Trail of '98,1928,"Action, Adventure, Drama",6.9
Underground,1928,"Drama, Romance",7.3
Weary River,1929,"Drama, Romance",6.1
The Wedding March,1928,Drama,7.5
West of Zanzibar,1928,"Drama, Mystery",7.2
While the City Sleeps,1928,"Crime, Drama",6.3
White Shadows in the South Seas,1928,"Drama, Romance",6.9
The Wind,1928,"Drama, Romance, Thriller",8
A Woman of Affairs,1928,Drama,7.2
Alibi,1929,Crime,5.8
Applause,1929,"Drama, Musical",7
Atlantic,1929,Drama,5.5
Behind That Curtain,1929,Mystery,4.9
Big News,1929,"Comedy, Crime, Mystery",5.4
The Black Watch,1929,"Adventure, Drama",5.6
Blackmail,1929,"Crime, Thriller",7
Broadway,1929,"Crime, Music, Romance",6.2
Broadway Babies,1929,"Drama, Musical",6.4
The Broadway Melody,1929,"Drama, Musical, Romance",5.7
Bulldog Drummond,1929,"Drama, Mystery, Thriller",6.4
The Canary Murder Case,1929,"Crime, Drama, Mystery",6
The Cocoanuts,1929,"Comedy, Musical",7
Condemned!,1929,Drama,6.4
Coquette,1929,"Drama, Romance",5.8
The Dance of Life,1929,"Drama, Musical, Romance",6.5
Dangerous Curves,1929,Drama,5.9
Desert Nights,1929,"Adventure, Drama, Romance",6.5
Disraeli,1929,"Biography, Drama, History",6.2
The Divine Lady,1928,"Drama, History, Romance",6.2
Dynamite,1929,Drama,7
Eternal Love,1929,"Drama, Romance",6.8
Evangeline,1929,Drama,6.6
Flight,1929,"Action, Adventure, Romance",5.9
The Flying Fleet,1929,"Adventure, Drama, Romance",6.6
The Flying Scotsman,1929,"Crime, Drama",6
The Girl in the Show,1929,Comedy,5.2
Glorifying the American Girl,1929,"Comedy, Drama, Musical",5.8
The Godless Girl,1928,Drama,7.2
Gold Diggers of Broadway,1929,"Comedy, Musical",6.7
The Great Divide,1929,"Action, Romance, Western",5.2
The Greene Murder Case,1929,"Drama, Mystery",6.6
Half Marriage,1929,"Drama, Romance",5.8
Hallelujah,1929,"Drama, Musical",6.8
Her Private Affair,1929,Drama,5.1
High Voltage,1929,"Crime, Drama, Romance",5.3
The Hole in the Wall,1929,"Drama, Mystery",5.8
The Hollywood Revue of 1929,1929,"Comedy, Music",5.9
Seven Footprints to Satan,1929,"Comedy, Crime, Drama",6.6
The Idle Rich,1929,Comedy,5.9
The Informer,1929,Drama,7
The Iron Mask,1929,"Adventure, Drama, History",7
It's a Great Life,1929,"Comedy, Musical, Romance",6.1
The Kiss,1929,"Romance, Drama",6.9
The Last Performance,1929,"Drama, Horror, Romance",6.7
The Last Warning,1928,"Horror, Mystery, Thriller",6.7
The Last of Mrs. Cheyney,1929,"Comedy, Drama",6.1
The Letter,1929,Drama,6.7
Linda,1929,Drama,6.8
The Locked Door,1929,"Drama, Mystery, Thriller",6
The Love Trap,1929,Comedy,6.5
Lucky Star,1929,"Drama, Romance",7.8
Madame X,1929,Drama,6
The Manxman,1929,"Drama, Romance",6.2
Marianne,1929,Drama,5.6
The Mysterious Dr. Fu Manchu,1929,Thriller,6.7
The Mysterious Island,1929,"Adventure, Romance, Sci-Fi",6.1
Navy Blues,1929,"Comedy, Drama",5.2
New York Nights,1929,"Crime, Drama, Music",5.7
Noah's Ark,1928,"Drama, War",6.5
Our Modern Maidens,1929,"Drama, Comedy",6
Piccadilly,1929,"Drama, Crime",7.1
Prapancha Pash,1929,"Adventure, Drama, Romance",6.5
The Racketeer,1929,"Crime, Drama, Thriller",5.5
Redskin,1929,"Western, Adventure, Drama",6.8
Rio Rita,1929,"Adventure, Music, Romance",6.1
The River,1928,"Drama, Romance",7.2
Chasing Rainbows,1930,"Comedy, Drama, Musical",6
Salute,1929,"Drama, Romance, Sport",5.5
The Saturday Night Kid,1929,"Comedy, Romance",6
Seven Keys to Baldpate,1929,"Comedy, Mystery, Thriller",6.1
The Shakedown,1929,"Drama, Sport",6.3
Show Boat,1929,"Drama, Musical, Romance",6.1
Show of Shows,1929,Musical,5.8
The Silent Enemy,1930,Drama,6.9
The Single Standard,1929,"Drama, Romance",6.7
So This Is College,1929,"Comedy, Drama, Romance",5.5
Spite Marriage,1929,Comedy,7
The Squall,1929,"Drama, Music, Romance",4.9
Street Girl,1929,"Drama, Musical, Romance",6.1
The Studio Murder Mystery,1929,"Crime, Mystery",5.7
Sunny Side Up,1929,"Comedy, Musical",6.5
Taming of the Shrew,1929,"Comedy, Romance",6.3
Tanned Legs,1929,"Comedy, Musical",5.6
Their Own Desire,1929,"Drama, Romance",5.9
They Had to See Paris,1929,Comedy,5.8
